record_index,input_module_ip,button_id_hex,target_ip,target_channel,target_channel_raw,action_code,notes
1,10.10.1.55,88196c31,,,,B31,global/special action (no relay channel tail)
2,10.10.1.55,47507ca8,10.10.1.30,23,23,map,
3,10.10.1.55,9e8a6ba7,10.10.1.30,8,08,map,
4,10.10.1.55,4ff86c3c,10.10.1.30,7,07,map,
5,10.10.1.55,d56c6cea,,,,B30,global/special action (no relay channel tail)
6,10.10.1.55,8ebe6ce1,10.10.1.30,7,07,map,
7,10.10.1.55,62706c35,10.10.1.30,6,06,map,
8,10.10.1.55,6a9d6b24,10.10.1.30,12,12,map,
9,10.10.1.55,e4096d7c,10.10.1.30,10,10,map,
10,10.10.1.55,a0336c63,10.10.1.30,23,23,map,
11,10.10.1.55,9a437c14,10.10.1.30,10,10,map,
12,10.10.1.55,284f6c64,10.10.1.30,8,08,map,
13,10.10.1.55,b6096d3c,10.10.1.30,9,09,map,
14,10.10.1.55,e0276c75,10.10.1.30,9,09,map,
15,10.10.1.55,ae316cf3,,,,B32,global/special action (no relay channel tail)
16,10.10.1.55,7a596cc4,10.10.1.30,2,02,map,
17,10.10.1.55,dac46cc3,10.10.1.30,17,17,map,
18,10.10.1.55,418d6b16,,,,B30,global/special action (no relay channel tail)
19,10.10.1.55,a4ad6b2c,,,,B30,global/special action (no relay channel tail)
20,10.10.1.55,54f86b19,10.10.1.30,13,13,map,
21,10.10.1.55,0e3c6c43,10.10.1.30,13,13,map,
22,10.10.1.55,1df96cb1,10.10.1.30,2,02,map,
23,10.10.1.55,57d96cf3,10.10.1.30,17,17,map,
24,10.10.1.55,cc006c17,,,,B32,global/special action (no relay channel tail)
25,10.10.1.55,07fb6ca6,10.10.1.30,23,23,map,
26,10.10.1.55,4ad36c5f,10.10.1.30,6,06,map,
27,10.10.1.55,afeb6ba1,10.10.1.30,21,21,map,
28,10.10.1.55,b7906cc0,10.10.1.30,11,11,map,
29,10.10.1.55,fb3d6d98,10.10.1.30,3,03,map,
30,10.10.1.55,9e0e6d7a,10.10.1.30,8,08,map,
31,10.10.1.55,c3176d91,10.10.1.30,22,22,map,
32,10.10.1.55,b1f06c63,10.10.1.32,0,00,map,
33,10.10.1.55,a6d26cc6,10.10.1.30,21,21,map,
